date,genotype,strain,strain-sum,treatment,assay,group,A,B,CD(Left),CD(middle),CD(right),E,F(ETOH),User,note
5_24_16,N2,,OP_5xOPp_OPCM,,oct,D5,1,1,1,1,0,52,83,PHC,2hr
5_24_16,N2,,OP_5xOPp_OPCM,,oct,D6,4,1,0,0,0,15,71,PHC,2hr
5_24_16,N2,,OP_5xOPp_OPCM,,oct,D6,10,2,1,2,0,11,97,PHC,2hr
5_24_16,N2,,OP_JUCM,,oct,E9,3,5,1,0,0,11,38,PHC,2hr
5_24_16,N2,,OP_JUCM,,oct,E9,4,5,1,0,1,8,34,PHC,2hr
5_24_16,N2,,OP_JUCM,,oct,E10,5,4,1,1,0,12,73,PHC,2hr
5_24_16,N2,,OP_JUCM,,oct,E10,1,5,0,0,0,14,73,PHC,2hr
5_24_16,N2,,OP_OPCM,,oct,F9,12,6,0,1,0,14,69,PHC,2hr
5_24_16,N2,,OP_OPCM,,oct,F9,2,6,0,1,0,8,41,PHC,2hr
5_24_16,N2,,OP_OPCM,,oct,F10,1,1,0,0,0,2,11,PHC,2hr
5_24_16,N2,,OP_OPCM,,oct,F10,2,2,1,1,2,18,52,PHC,2hr
5_24_16,N2,,JU_5xJUp_JUCM,,oct,G1,5,4,0,2,2,17,36,PHC,2hr
5_24_16,N2,,JU_5xJUp_JUCM,,oct,G1,1,1,1,2,0,12,63,PHC,2hr
5_24_16,N2,,JU_5xJUp_JUCM,,oct,G2,2,2,0,0,1,2,42,PHC,2hr
5_24_16,N2,,JU_5xJUp_JUCM,,oct,G2,7,1,0,2,0,3,71,PHC,2hr
5_24_16,N2,,JU_JUCM,,oct,H1,39,5,3,1,4,106,69,PHC,2hr
5_24_16,N2,,JU_JUCM,,oct,H2,23,9,2,2,0,4,59,PHC,2hr
5_24_16,N2,,OP_5xOPp_NGM,,oct,A3,0,0,1,1,0,2,92,MOD,2hr
5_24_16,N2,,OP_5xOPp_NGM,,oct,A4,0,0,1,1,0,2,92,MOD,2hr
5_24_16,N2,,OP_NGM,,oct,B3,4,1,0,1,0,32,93,MOD,2hr
5_24_16,N2,,OP_NGM,,oct,B4,5,1,0,0,0,10,81,MOD,2hr
5_24_16,N2,,OP_5xOPp_NGM,,nona,A3,0,0,1,6,2,28,98,MOD,2hr
5_24_16,N2,,OP_5xOPp_NGM,,nona,A4,0,0,1,31,1,11,152,MOD,2hr
5_24_16,N2,,OP_NGM,,nona,B3,0,0,2,35,1,64,75,MOD,2hr
5_24_16,N2,,OP_NGM,,nona,B4,0,0,0,6,1,22,204,MOD,2hr
5_24_16,N2,,OP_5xOPp_JUCM,,oct,C7,0,1,2,0,2,56,59,MOD,2hr
5_24_16,N2,,OP_5xOPp_JUCM,,oct,C7,0,0,1,1,0,9,69,MOD,2hr
5_24_16,N2,,OP_5xOPp_JUCM,,oct,C8,0,0,1,6,1,47,80,MOD,2hr
5_24_16,N2,,OP_5xOPp_JUCM,,oct,C8,0,1,1,1,1,21,75,MOD,2hr
5_24_16,N2,,OP_5xOPp_OPCM,,oct,D7,2,2,1,1,1,61,80,MOD,2hr
5_24_16,N2,,OP_5xOPp_OPCM,,oct,D7,7,8,2,5,3,97,86,MOD,2hr
5_24_16,N2,,OP_5xOPp_OPCM,,oct,D8,3,2,2,21,0,70,45,MOD,2hr
5_24_16,N2,,OP_5xOPp_OPCM,,oct,D8,2,0,0,3,0,28,47,MOD,2hr
5_24_16,N2,,OP_JUCM,,oct,E11,3,1,1,1,0,40,65,MOD,2hr
5_24_16,N2,,OP_JUCM,,oct,E11,2,2,1,0,1,45,58,MOD,2hr
5_24_16,N2,,OP_JUCM,,oct,E12,0,0,0,1,0,14,21,MOD,2hr
5_24_16,N2,,OP_JUCM,,oct,E12,0,0,0,5,1,18,24,MOD,2hr
5_24_16,N2,,OP_OPCM,,oct,F11,11,9,0,1,0,65,84,MOD,2hr
5_24_16,N2,,OP_OPCM,,oct,F11,8,4,2,3,0,91,86,MOD,2hr
5_24_16,N2,,OP_OPCM,,oct,F12,2,3,2,3,1,45,51,MOD,2hr
5_24_16,N2,,OP_OPCM,,oct,F12,1,1,0,1,0,24,60,MOD,2hr
5_24_16,N2,,JU_5xJUp_JUCM,,oct,G3,1,0,0,0,1,3,94,MOD,2hr
5_24_16,N2,,JU_5xJUp_JUCM,,oct,G3,4,0,1,1,0,6,98,MOD,2hr
5_24_16,N2,,JU_5xJUp_JUCM,,oct,G4,3,3,1,1,0,10,107,MOD,2hr
5_24_16,N2,,JU_JUCM,,oct,H3,12,3,0,1,2,62,42,MOD,2hr
5_24_16,N2,,JU_JUCM,,oct,H3,6,1,0,7,1,57,58,MOD,2hr
5_24_16,N2,,JU_JUCM,,oct,H4,52,5,1,2,1,45,58,MOD,2hr
5_26_16,N2,,JUb39,,oct,,8,3,1,8,3,5,90,MOD,
5_26_16,N2,,JUb39,,oct,,4,0,0,9,0,2,68,MOD,
5_26_16,N2,,JU_starve_on_plate_30min,,oct,,7,0,0,1,1,2,131,MOD,
5_26_16,N2,,JU_starve_on_plate_30min,,oct,,5,3,3,4,1,5,198,MOD,
5_26_16,N2,,JU_starve_on_plate_1hr,,oct,,9,4,0,1,0,28,107,MOD,
5_26_16,N2,,JU_starve_on_plate_1hr,,oct,,3,2,0,5,1,5,130,MOD,
5_26_16,N2,,JU_starve_on_plate_2hr,,oct,,6,9,2,3,2,82,119,MOD,
5_26_16,N2,,JU_starve_on_plate_2hr,,oct,,2,2,0,4,0,18,78,MOD,
5_26_16,N2,,OP_starve_on_plate_30min,,oct,,3,2,2,0,3,34,135,PHC,
5_26_16,N2,,OP_starve_on_plate_1hr,,oct,,2,1,0,0,0,13,55,PHC,
5_26_16,N2,,OP_starve_on_plate_1hr,,oct,,2,6,0,0,2,27,126,PHC,
5_26_16,N2,,OP_starve_on_plate_2hr,,oct,,2,1,0,0,0,4,28,PHC,
5_26_16,N2,,OP_starve_on_plate_2hr,,oct,,1,11,5,6,3,29,231,PHC,
5_26_16,N2,,OP_5xOPp_NGM,,oct,A1,0,0,1,0,0,15,57,PHC,2hr
5_26_16,N2,,OP_5xOPp_NGM,,oct,A1,0,0,0,1,0,26,35,PHC,2hr
5_26_16,N2,,JU_5xOPp_NGM,,oct,A1,0,1,1,0,2,5,25,MOD,2hr
5_26_16,N2,,JU_5xOPp_NGM,,oct,A1,3,3,1,6,2,28,96,MOD,2hr
5_26_16,N2,,OP_5xOPp_NGM,,oct,A2,0,0,2,0,2,32,64,PHC,2hr
5_26_16,N2,,OP_5xOPp_NGM,,oct,A2,0,0,0,1,0,3,40,PHC,2hr
5_26_16,N2,,JU_5xOPp_NGM,,oct,A2,2,0,0,2,1,15,37,MOD,2hr
5_26_16,N2,,JU_5xOPp_NGM,,oct,A2,1,2,2,4,0,8,90,MOD,2hr
5_26_16,N2,,JU_5xOPp_NGM,,oct,A3,10,3,3,1,6,41,54,PHC,2hr
5_26_16,N2,,JU_5xOPp_NGM,,oct,A3,3,1,0,1,1,11,65,PHC,2hr
5_26_16,N2,,OP_5xOPp_NGM,,oct,A3,0,0,3,0,1,9,76,MOD,2hr
5_26_16,N2,,OP_5xOPp_NGM,,oct,A3,0,0,2,1,0,10,67,MOD,2hr
5_26_16,N2,,OP_NGM,,oct,B1,0,0,0,0,2,13,39,PHC,2hr
5_26_16,N2,,OP_NGM,,oct,B1,1,0,1,2,1,13,57,PHC,2hr
5_26_16,N2,,JU_NGM,,oct,B1,2,4,2,2,0,4,191,MOD,2hr
5_26_16,N2,,JU_NGM,,oct,B1,5,4,1,3,2,5,79,MOD,2hr
5_26_16,N2,,OP_NGM,,oct,B2,0,1,0,0,0,6,39,PHC,2hr
5_26_16,N2,,OP_NGM,,oct,B2,0,0,1,1,0,12,76,PHC,2hr
5_26_16,N2,,JU_NGM,,oct,B2,3,2,1,0,0,3,20,MOD,2hr
5_26_16,N2,,JU_NGM,,oct,B2,2,6,0,1,1,11,40,MOD,2hr
5_26_16,N2,,JU_NGM,,oct,B3,2,2,0,1,2,6,93,PHC,2hr
5_26_16,N2,,JU_NGM,,oct,B3,2,2,0,2,3,6,103,PHC,2hr
5_26_16,N2,,OP_NGM,,oct,B3,0,4,1,3,1,12,85,MOD,2hr
5_26_16,N2,,OP_NGM,,oct,B3,4,3,0,0,1,11,112,MOD,2hr
5_26_16,N2,,OP_5XOPp_JUCM,,oct,C4,0,3,0,0,1,26,195,PHC,2hr
5_26_16,N2,,OP_5XOPp_JUCM,,oct,C4,0,2,0,0,0,5,77,PHC,2hr
5_26_16,N2,,JU_5XOPp_JUCM,,oct,C4,6,5,0,3,1,6,89,MOD,2hr
5_26_16,N2,,JU_5XOPp_JUCM,,oct,C4,0,3,0,0,2,9,55,MOD,2hr
5_26_16,N2,,OP_5XOPp_JUCM,,oct,C5,0,0,0,0,1,13,76,PHC,2hr
5_26_16,N2,,OP_5XOPp_JUCM,,oct,C5,0,0,0,0,0,10,47,PHC,2hr
5_26_16,N2,,JU_5XOPp_JUCM,,oct,C5,8,3,0,1,2,23,108,MOD,2hr
5_26_16,N2,,JU_5XOPp_JUCM,,oct,C5,2,2,0,1,1,4,55,MOD,2hr
5_26_16,N2,,JU_5XOPp_JUCM,,oct,C6,2,1,0,1,6,14,35,PHC,2hr
5_26_16,N2,,JU_5XOPp_JUCM,,oct,C6,9,3,0,1,3,16,81,PHC,2hr
5_26_16,N2,,OP_5XOPp_JUCM,,oct,C6,0,2,1,2,1,47,179,MOD,2hr
5_26_16,N2,,OP_5XOPp_OPCM,,oct,D4,2,0,0,2,1,15,99,PHC,2hr
5_26_16,N2,,OP_5XOPp_OPCM,,oct,D4,0,0,0,0,0,7,26,PHC,2hr
5_26_16,N2,,JU_5XOPp_OPCM,,oct,D4,7,2,0,1,0,16,77,MOD,2hr
5_26_16,N2,,JU_5XOPp_OPCM,,oct,D4,2,3,1,2,0,33,66,MOD,2hr
5_26_16,N2,,OP_5XOPp_OPCM,,oct,D5,1,0,0,1,2,35,46,PHC,2hr
5_26_16,N2,,OP_5XOPp_OPCM,,oct,D5,2,1,2,2,4,45,128,PHC,2hr
5_26_16,N2,,JU_5XOPp_OPCM,,oct,D5,6,5,2,2,1,2,127,MOD,2hr
5_26_16,N2,,JU_5XOPp_OPCM,,oct,D5,2,11,0,2,0,32,133,MOD,2hr
5_26_16,N2,,JU_5XOPp_OPCM,,oct,D6,2,7,0,0,0,8,41,PHC,2hr
5_26_16,N2,,JU_5XOPp_OPCM,,oct,D6,2,6,2,2,3,33,128,PHC,2hr
5_26_16,N2,,OP_5XOPp_OPCM,,oct,D6,3,3,2,3,1,32,112,MOD,2hr
5_26_16,N2,,OP_5XOPp_OPCM,,oct,D6,4,3,0,0,1,7,28,MOD,2hr
6_7_16,N2,OP50,OP50,,oct,,0,0,0,2,5,8,55,MOD,
6_7_16,N2,OP50,OP50,,oct,,0,0,1,2,1,9,29,MOD,
6_7_16,N2,JUb39,JUb39,,oct,,7,2,0,40,2,9,33,MOD,
6_7_16,N2,JUb39,JUb39,,oct,,11,1,0,2,0,4,23,MOD,
6_7_16,N2,JUb39,JUb39,,oct,,5,1,3,4,0,4,28,MOD,
6_7_16,N2,JUb39,JUb39,,oct,,10,0,5,3,1,4,31,MOD,
6_7_16,Tph-1,OP50,OP50,,oct,,0,0,1,2,0,0,3,MOD,
6_7_16,Tph-1,OP50,OP50,,oct,,3,0,1,2,1,4,8,MOD,
6_7_16,Tph-1,OP50,OP50,,oct,,1,1,0,2,1,5,14,MOD,
6_7_16,Tph-1,OP50,OP50,,oct,,0,0,2,3,1,6,18,MOD,
6_7_16,Tph-1,JUb39,JUb39,,oct,,5,0,2,1,0,0,12,MOD,
6_7_16,Tph-1,JUb39,JUb39,,oct,,9,1,1,1,0,1,67,MOD,
6_7_16,Tph-1,JUb39,JUb39,,oct,,10,1,2,2,2,0,53,MOD,
6_7_16,Tph-1,JUb39,JUb39,,oct,,13,1,2,10,1,4,55,MOD,
6_7_16,N2,OP50,OP50,,oct,,0,0,4,0,3,44,65,PHC,
6_7_16,N2,OP50,OP50,,oct,,0,1,2,0,1,5,44,PHC,
6_7_16,N2,OP50,OP50,,oct,,0,0,4,1,0,10,68,PHC,
6_7_16,N2,JUb39,JUb39,,oct,,3,1,2,1,0,4,35,PHC,
6_7_16,N2,JUb39,JUb39,,oct,,5,5,6,4,8,17,54,PHC,
6_7_16,N2,JUb39,JUb39,,oct,,1,2,3,0,1,9,61,PHC,
6_7_16,Tph-1,JUb39,JUb39,,oct,,1,0,0,0,1,0,32,PHC,
6_7_16,Tph-1,JUb39,JUb39,,oct,,2,0,1,0,0,1,45,PHC,
6_7_16,Tph-1,JUb39,JUb39,,oct,,2,2,1,0,1,9,127,PHC,
6_14_16,N2,OP50,OP50,,oct,,4,4,7,30,2,83,124,MOD,
6_14_16,N2,OP50,OP50,,oct,,5,1,3,12,4,46,81,MOD,
6_14_16,N2,OP50,OP50,,oct,,2,0,2,8,3,27,65,MOD,
6_14_16,N2,OP50,OP50,,oct,,0,1,1,4,4,92,112,MOD,
6_14_16,N2,JUb39,JUb39,,oct,,1,0,0,10,1,21,62,MOD,
6_14_16,N2,JUb39,JUb39,,oct,,7,1,2,3,1,4,93,MOD,
6_14_16,N2,JUb39,JUb39,,oct,,9,2,2,15,3,14,115,MOD,
6_14_16,N2,JUb39,JUb39,,oct,,4,1,0,8,1,7,86,MOD,
6_14_16,Tph-1,OP50,OP50,,oct,,0,1,1,1,0,15,35,MOD,
6_14_16,Tph-1,OP50,OP50,,oct,,0,1,0,3,0,15,62,MOD,
6_14_16,Tph-1,OP50,OP50,,oct,,2,1,0,5,1,47,89,MOD,
6_14_16,Tph-1,OP50,OP50,,oct,,0,0,2,1,0,21,81,MOD,
6_14_16,Tph-1,JUb39,JUb39,,oct,,5,1,2,3,1,8,56,MOD,
6_14_16,Tph-1,JUb39,JUb39,,oct,,13,1,0,1,1,1,34,MOD,
6_14_16,Tph-1,JUb39,JUb39,,oct,,6,4,1,2,1,6,55,MOD,
6_14_16,Tph-1,JUb39,JUb39,,oct,,6,1,1,1,2,3,93,MOD,
6_14_16,N2,OP50,OP50,,oct,,0,0,2,0,1,3,13,PHC,
6_14_16,N2,OP50,OP50,,oct,,1,0,2,1,3,25,61,PHC,
6_14_16,N2,OP50,OP50,,oct,,1,0,0,1,2,23,37,PHC,
6_14_16,N2,OP50,OP50,,oct,,1,0,12,18,4,50,147,PHC,
6_14_16,N2,JUb39,JUb39,,oct,,1,5,1,2,4,7,37,PHC,
6_14_16,N2,JUb39,JUb39,,oct,,6,1,2,0,3,17,47,PHC,
6_14_16,N2,JUb39,JUb39,,oct,,11,7,7,11,8,34,69,PHC,
6_14_16,N2,JUb39,JUb39,,oct,,13,4,3,11,4,23,108,PHC,
6_14_16,Tph-1,OP50,OP50,,oct,,0,1,1,1,1,3,38,PHC,
6_14_16,Tph-1,OP50,OP50,,oct,,1,4,1,1,2,20,124,PHC,
6_14_16,Tph-1,OP50,OP50,,oct,,0,0,0,6,1,22,87,PHC,
6_14_16,Tph-1,OP50,OP50,,oct,,0,0,0,1,0,7,50,PHC,
6_14_16,Tph-1,JUb39,JUb39,,oct,,6,8,3,2,1,3,50,PHC,
6_14_16,Tph-1,JUb39,JUb39,,oct,,2,5,3,4,3,4,48,PHC,
6_14_16,Tph-1,JUb39,JUb39,,oct,,10,3,4,1,1,6,62,PHC,
6_28_16,N2,OP50,OP50,gentomycin,oct,,0,0,5,2,0,25,15,PHC,
6_28_16,N2,OP50,OP50,gentomycin,oct,,0,0,4,6,0,19,23,PHC,
6_28_16,N2,OP50,OP50,gentomycin,oct,,0,0,2,9,0,41,32,PHC,
6_28_16,N2,JUb39,JUb39,gentomycin,oct,,2,0,2,2,0,19,145,PHC,
6_28_16,N2,JUb39,JUb39,gentomycin,oct,,0,0,0,1,0,6,65,PHC,
6_28_16,N2,JUb39,JUb39,gentomycin,oct,,0,0,6,0,1,15,52,PHC,
6_28_16,N2,OP50_mcherry,OP50_mcherry,gentomycin,oct,,0,2,6,3,2,41,127,PHC,
6_28_16,N2,OP50_mcherry,OP50_mcherry,gentomycin,oct,,1,0,1,3,0,16,58,PHC,
6_28_16,N2,OP50_mcherry,OP50_mcherry,gentomycin,oct,,0,0,1,1,1,25,103,PHC,
6_28_16,N2,OP50_mcherry,OP50_mcherry,gentomycin,oct,,1,0,4,2,6,56,65,PHC,
6_28_16,N2,JUb39_mcherry,JUb39_mcherry,gentomycin,oct,,6,2,6,8,6,16,204,PHC,
6_28_16,N2,JUb39_mcherry,JUb39_mcherry,gentomycin,oct,,4,0,0,1,1,16,48,PHC,
6_28_16,N2,JUb39_mcherry,JUb39_mcherry,gentomycin,oct,,1,10,1,2,3,11,56,PHC,
6_28_16,N2,JUb39_mcherry,JUb39_mcherry,gentomycin,oct,,6,0,2,1,2,13,107,PHC,
6_28_16,N2,OP50,OP50,,oct,,0,0,5,1,2,15,121,PHC,
6_28_16,N2,OP50,OP50,,oct,,0,0,1,1,3,5,39,PHC,
6_28_16,N2,OP50,OP50,,oct,,0,2,1,1,3,13,54,PHC,
6_28_16,N2,OP50,OP50,,oct,,0,1,5,7,3,14,104,PHC,
6_28_16,N2,JUb39,JUb39,,oct,,0,2,2,7,0,7,58,PHC,
6_28_16,N2,JUb39,JUb39,,oct,,1,0,1,2,0,3,38,PHC,
6_28_16,N2,JUb39,JUb39,,oct,,10,4,5,4,2,2,96,PHC,
6_28_16,N2,JUb39,JUb39,,oct,,1,1,1,2,1,5,40,PHC,
6_28_16,N2,OP50_mcherry,OP50_mcherry,,oct,,2,0,2,1,1,10,95,PHC,
6_28_16,N2,OP50_mcherry,OP50_mcherry,,oct,,1,2,3,1,1,22,122,PHC,
6_28_16,N2,OP50_mcherry,OP50_mcherry,,oct,,0,0,1,1,1,16,68,PHC,
6_28_16,N2,OP50_mcherry,OP50_mcherry,,oct,,0,0,1,2,2,7,49,PHC,
6_28_16,N2,JUb39_mcherry,JUb39_mcherry,,oct,,4,0,3,2,1,5,48,PHC,
6_28_16,N2,JUb39_mcherry,JUb39_mcherry,,oct,,0,0,1,2,2,5,31,PHC,
6_28_16,N2,JUb39_mcherry,JUb39_mcherry,,oct,,6,3,1,3,6,11,108,PHC,
6_28_16,N2,JUb39_mcherry,JUb39_mcherry,,oct,,2,17,3,3,8,15,153,PHC,
6_28_16,N2,OP50_mcherry,OP50_mcherry,gentomycin,oct,,1,1,0,3,0,39,73,MOD,
6_28_16,N2,OP50_mcherry,OP50_mcherry,gentomycin,oct,,3,0,3,3,5,42,62,MOD,
6_28_16,N2,OP50_mcherry,OP50_mcherry,gentomycin,oct,,1,2,3,1,6,56,84,MOD,
6_28_16,N2,OP50_mcherry,OP50_mcherry,gentomycin,oct,,0,0,7,0,4,30,47,MOD,
6_28_16,N2,JUb39_mcherry,JUb39_mcherry,gentomycin,oct,,2,0,3,20,3,4,37,MOD,
6_28_16,N2,JUb39_mcherry,JUb39_mcherry,gentomycin,oct,,11,2,0,1,0,0,41,MOD,
6_28_16,N2,JUb39_mcherry,JUb39_mcherry,gentomycin,oct,,4,1,0,1,0,2,57,MOD,
6_28_16,N2,JUb39_mcherry,JUb39_mcherry,gentomycin,oct,,7,1,1,0,0,4,47,MOD,
6_28_16,N2,OP50,OP50,gentomycin,oct,,0,0,0,0,3,10,7,MOD,pc score
6_28_16,N2,OP50,OP50,gentomycin,oct,,0,1,1,0,6,62,35,MOD,pc score
6_28_16,N2,OP50,OP50,gentomycin,oct,,0,0,1,0,1,14,5,MOD,pc score
6_28_16,N2,OP50,OP50,gentomycin,oct,,0,2,1,0,1,27,26,MOD,pc score
6_28_16,N2,JUb39,JUb39,gentomycin,oct,,1,0,1,2,2,11,26,MOD,pc score
6_28_16,N2,JUb39,JUb39,gentomycin,oct,,6,5,2,1,1,23,24,MOD,pc score
6_28_16,N2,JUb39,JUb39,gentomycin,oct,,5,2,0,2,0,21,32,MOD,pc score
6_28_16,N2,JUb39,JUb39,gentomycin,oct,,0,1,1,1,1,22,61,MOD,pc score
6_28_16,N2,OP50,OP50,,oct,,10,5,0,4,0,30,146,MOD,pc score
6_28_16,N2,OP50,OP50,,oct,,5,1,3,2,1,15,146,MOD,pc score
6_28_16,N2,OP50,OP50,,oct,,6,2,6,1,1,34,59,MOD,pc score
6_28_16,N2,OP50,OP50,,oct,,11,0,0,2,3,22,161,MOD,pc score
6_28_16,N2,JUb39,JUb39,,oct,,1,1,1,2,4,14,139,MOD,pc score
6_28_16,N2,JUb39,JUb39,,oct,,9,2,5,3,2,2,145,MOD,pc score
6_28_16,N2,JUb39,JUb39,,oct,,6,4,3,2,1,8,80,MOD,pc score
6_28_16,N2,JUb39,JUb39,,oct,,13,3,9,3,4,51,169,MOD,pc score
6_28_16,N2,OP50_mcherry,OP50_mcherry,,oct,,0,0,1,1,0,23,71,MOD,pc score
6_28_16,N2,OP50_mcherry,OP50_mcherry,,oct,,2,1,0,2,2,18,201,MOD,pc score
6_28_16,N2,OP50_mcherry,OP50_mcherry,,oct,,4,1,3,6,3,29,214,MOD,pc score
6_28_16,N2,OP50_mcherry,OP50_mcherry,,oct,,0,1,7,2,0,18,201,MOD,pc score
6_28_16,N2,JUb39_mcherry,JUb39_mcherry,,oct,,18,6,7,3,2,20,169,MOD,pc score
6_28_16,N2,JUb39_mcherry,JUb39_mcherry,,oct,,4,6,2,2,1,4,81,MOD,pc score
6_28_16,N2,JUb39_mcherry,JUb39_mcherry,,oct,,7,4,4,5,4,19,199,MOD,pc score
6_28_16,N2,JUb39_mcherry,JUb39_mcherry,,oct,,0,0,1,0,0,6,72,MOD,pc score
